TAG_DATA_DATE,ACTUAL_VALUE,PREDICT_VALUE,RESIDUAL_VALUE
2018-12-08 07:05:00,359.62873,358.84836,0.78037
2018-12-08 07:06:00,359.58499,358.84599,0.739
2018-12-08 07:07:00,359.13378,358.50725,0.62653
2018-12-08 07:08:00,359.00201,358.74651,0.2555
2018-12-08 07:09:00,358.35881,358.27531,0.0835
2018-12-08 07:10:00,358.20499,358.16045,0.04454
2018-12-08 07:11:00,359.27776,357.91955,1.35821
2018-12-08 07:12:00,359.37701,358.08933,1.28768
2018-12-08 07:13:00,359.46287,357.77226,1.69061
2018-12-08 07:14:00,359.63,357.83646,1.79354
2018-12-08 07:15:00,358.68244,357.60373,1.07871
2018-12-08 07:16:00,358.57501,357.68411,0.8909
2018-12-08 07:17:00,358.88019,357.85787,1.02232
2018-12-08 07:18:00,358.94199,357.49944,1.44255
2018-12-08 07:19:00,358.7397,357.27883,1.46087
2018-12-08 07:20:00,358.707,357.43181,1.27519
2018-12-08 07:21:00,358.31064,357.75254,0.5581
2018-12-08 07:22:00,358.242,357.82446,0.41754
2018-12-08 07:23:00,358.88207,357.96681,0.91526
2018-12-08 07:24:00,358.70999,357.8778,0.83219
2018-12-08 07:25:00,359.56473,358.2389,1.32583
2018-12-08 07:26:00,359.49799,358.42641,1.07158
2018-12-08 07:27:00,358.52147,358.45677,0.0647
2018-12-08 07:28:00,358.36099,358.61903,-0.25804
2018-12-08 07:29:00,359.35662,358.86621,0.49041
2018-12-08 07:30:00,359.36099,358.70508,0.65591
2018-12-08 07:31:00,359.92217,358.74281,1.17936
2018-12-08 07:32:00,359.89099,358.73398,1.15701
2018-12-08 07:33:00,359.76624,358.55423,1.21201
2018-12-08 07:34:00,359.582,358.78403,0.79797
2018-12-08 07:35:00,359.63153,358.85638,0.77515
2018-12-08 07:36:00,359.634,359.22008,0.41392
2018-12-08 07:37:00,358.88977,358.95467,-0.0649
2018-12-08 07:38:00,358.789,358.51565,0.27335
2018-12-08 07:39:00,358.56209,358.72243,-0.16034
2018-12-08 07:40:00,358.50201,358.63574,-0.13373
